kp,pipeline_id,pipeline_code,pipeline_name,latitude,longitude,elevation,slope_deg,river_proximity_km,fault_distance_km,soil_type,soil_risk,flooding_index,earthquake_factor,erosion_factor,landslide_index,soil_corrosivity_index,hoop_stress_ratio,pipe_diameter_inches,operating_pressure_psig,pipe_material,design_wall_thickness_mm,operational_age_years,corrosion_rate_mm_per_year,thickness_loss_mm,remaining_wall_thickness_mm,material_loss_percent,degradation_condition,failure_probability,failure_probability_percent,risk_class,primary_hazard,failure_code,diagnostic_message,remediation_plan
10.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.624914,6.713969,31.0,0.74,10.0,3.12,Corrosive Lowland Clay,1,0.351,0.291,0.08,0.058,0.764,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.352,1.41,20.79,6.4,Normal,0.1881,18.8,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 10.0: High external corrosion hazard (18.8%) resulting from saturated groundwater (Corrosivity Index 0.764) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
11.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.631788,6.719819,32.0,0.06,11.0,2.76,Corrosive Lowland Clay,1,0.37,0.273,0.114,0.053,0.761,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.337,1.35,20.85,6.1,Normal,0.1913,19.1,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 11.0: High external corrosion hazard (19.1%) resulting from saturated groundwater (Corrosivity Index 0.761) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
12.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.639221,6.724924,32.0,0.0,10.84,2.7,Corrosive Lowland Clay,1,0.372,0.317,0.093,0.051,0.761,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.332,1.33,20.87,6.0,Normal,0.1952,19.5,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 12.0: High external corrosion hazard (19.5%) resulting from saturated groundwater (Corrosivity Index 0.761) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
13.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.646673,6.730004,32.0,0.06,9.84,3.24,Corrosive Lowland Clay,1,0.343,0.285,0.089,0.035,0.763,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.332,1.33,20.87,6.0,Normal,0.183,18.3,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 13.0: High external corrosion hazard (18.3%) resulting from saturated groundwater (Corrosivity Index 0.763) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
14.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.654125,6.735085,33.0,0.06,8.84,3.78,Corrosive Lowland Clay,1,0.36,0.247,0.094,0.058,0.763,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.349,1.4,20.8,6.3,Normal,0.1852,18.5,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 14.0: High external corrosion hazard (18.5%) resulting from saturated groundwater (Corrosivity Index 0.763) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
15.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.661576,6.740166,33.0,0.06,7.84,4.38,Corrosive Lowland Clay,1,0.389,0.223,0.092,0.054,0.765,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.35,1.4,20.8,6.3,Normal,0.1868,18.7,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 15.0: High external corrosion hazard (18.7%) resulting from saturated groundwater (Corrosivity Index 0.765) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
16.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.669028,6.745246,34.0,0.06,6.84,5.43,Corrosive Lowland Clay,1,0.385,0.147,0.062,0.025,0.766,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.357,1.43,20.77,6.4,Normal,0.1689,16.9,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 16.0: High external corrosion hazard (16.9%) resulting from saturated groundwater (Corrosivity Index 0.766) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
17.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.676479,6.750327,34.0,0.06,5.84,6.17,Corrosive Lowland Clay,1,0.405,0.184,0.081,0.04,0.77,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.363,1.45,20.75,6.5,Normal,0.1819,18.2,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 17.0: High external corrosion hazard (18.2%) resulting from saturated groundwater (Corrosivity Index 0.77) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
18.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.683931,6.755407,35.0,0.06,4.84,7.01,Corrosive Lowland Clay,1,0.405,0.132,0.085,0.061,0.774,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.366,1.46,20.74,6.6,Normal,0.1791,17.9,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 18.0: High external corrosion hazard (17.9%) resulting from saturated groundwater (Corrosivity Index 0.774) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
19.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.691382,6.760488,35.0,0.0,3.84,8.18,Corrosive Lowland Clay,1,0.478,0.147,0.101,0.058,0.781,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.358,1.43,20.77,6.4,Normal,0.196,19.6,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 19.0: High external corrosion hazard (19.6%) resulting from saturated groundwater (Corrosivity Index 0.781) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
20.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.698834,6.765569,35.0,0.57,2.84,9.22,Corrosive Lowland Clay,1,0.533,0.107,0.13,0.052,0.788,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.357,1.43,20.77,6.4,Normal,0.2032,20.3,Medium,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 20.0: High external corrosion hazard (20.3%) resulting from saturated groundwater (Corrosivity Index 0.788) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
21.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.706286,6.770649,45.0,1.66,1.84,10.18,Corrosive Lowland Clay,1,0.625,0.081,0.226,0.107,0.788,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.348,1.39,20.81,6.3,Normal,0.234,23.4,Medium,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 21.0: High external corrosion hazard (23.4%) resulting from saturated groundwater (Corrosivity Index 0.788) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
22.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.713737,6.77573,64.0,1.32,0.84,10.72,Saturated Alluvial Silty Clay,2,0.867,0.133,0.296,0.11,0.97,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.437,1.75,20.45,7.9,Normal,0.3084,30.8,Medium,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 22.0: High external corrosion hazard (30.8%) resulting from saturated groundwater (Corrosivity Index 0.97) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
23.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.721099,6.78093,68.0,0.8,0.16,11.84,Saturated Alluvial Silty Clay,2,0.98,0.127,0.453,0.092,0.97,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.421,1.68,20.52,7.6,Normal,0.3397,34.0,Medium,Hydrodynamic River Scour & Flood Inundation,ERR-GEO-HYDRO-01,"KP 23.0: High failure probability (34.0%) driven by severe River Niger flood inundation (Flood Index 0.98, 0.16 km proximity). Current scour threatens to un-seat buried pipe.",Perform Horizontal Directional Drilling (HDD) deep riverbed re-burial & install concrete articulated weighting mats.
24.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.727991,6.786762,78.0,1.49,1.16,12.78,Saturated Alluvial Silty Clay,2,0.703,0.101,0.274,0.107,0.97,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.42,1.68,20.52,7.6,Normal,0.2718,27.2,Medium,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 24.0: High external corrosion hazard (27.2%) resulting from saturated groundwater (Corrosivity Index 0.97) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
25.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.734883,6.792593,94.0,0.0,2.16,14.14,Stable Sandy Loam,0,0.503,0.067,0.174,0.098,0.506,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.242,0.97,21.23,4.4,Normal,0.178,17.8,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 25.0: High external corrosion hazard (17.8%) resulting from saturated groundwater (Corrosivity Index 0.506) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
26.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.741775,6.798425,78.0,1.09,3.16,15.0,Corrosive Lowland Clay,1,0.462,0.069,0.181,0.104,0.715,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.337,1.35,20.85,6.1,Normal,0.1914,19.1,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 26.0: High external corrosion hazard (19.1%) resulting from saturated groundwater (Corrosivity Index 0.715) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
27.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.748666,6.804256,75.0,0.4,4.16,15.97,Corrosive Lowland Clay,1,0.409,0.057,0.155,0.075,0.71,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.317,1.27,20.93,5.7,Normal,0.1728,17.3,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 27.0: High external corrosion hazard (17.3%) resulting from saturated groundwater (Corrosivity Index 0.71) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
28.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.755558,6.810088,71.0,0.4,5.16,16.6,Corrosive Lowland Clay,1,0.387,0.091,0.076,0.08,0.71,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.319,1.28,20.92,5.8,Normal,0.1668,16.7,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 28.0: High external corrosion hazard (16.7%) resulting from saturated groundwater (Corrosivity Index 0.71) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
29.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.76245,6.815919,68.0,0.11,6.16,17.96,Corrosive Lowland Clay,1,0.349,0.088,0.091,0.084,0.711,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.316,1.26,20.94,5.7,Normal,0.1615,16.2,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 29.0: High external corrosion hazard (16.2%) resulting from saturated groundwater (Corrosivity Index 0.711) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
30.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.769341,6.82175,73.0,0.52,7.16,18.77,Corrosive Lowland Clay,1,0.327,0.1,0.131,0.075,0.699,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.332,1.33,20.87,6.0,Normal,0.1602,16.0,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 30.0: High external corrosion hazard (16.0%) resulting from saturated groundwater (Corrosivity Index 0.699) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
31.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.776233,6.827582,59.0,0.8,8.16,20.06,Corrosive Lowland Clay,1,0.352,0.073,0.08,0.071,0.72,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.349,1.4,20.8,6.3,Normal,0.1579,15.8,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 31.0: High external corrosion hazard (15.8%) resulting from saturated groundwater (Corrosivity Index 0.72) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
32.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.783125,6.833413,59.0,0.52,9.16,21.1,Corrosive Lowland Clay,1,0.347,0.06,0.078,0.085,0.717,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.348,1.39,20.81,6.3,Normal,0.157,15.7,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 32.0: High external corrosion hazard (15.7%) resulting from saturated groundwater (Corrosivity Index 0.717) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
33.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.790017,6.839245,50.0,0.57,8.7,22.09,Corrosive Lowland Clay,1,0.367,0.076,0.06,0.059,0.734,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.355,1.42,20.78,6.4,Normal,0.1586,15.9,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 33.0: High external corrosion hazard (15.9%) resulting from saturated groundwater (Corrosivity Index 0.734) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
34.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.796908,6.845076,49.0,0.34,7.7,22.92,Corrosive Lowland Clay,1,0.339,0.043,0.107,0.044,0.738,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.327,1.31,20.89,5.9,Normal,0.1515,15.2,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 34.0: High external corrosion hazard (15.2%) resulting from saturated groundwater (Corrosivity Index 0.738) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
35.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.8038,6.850908,44.0,0.34,6.7,23.88,Corrosive Lowland Clay,1,0.391,0.074,0.078,0.069,0.75,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.334,1.34,20.86,6.0,Normal,0.1674,16.7,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 35.0: High external corrosion hazard (16.7%) resulting from saturated groundwater (Corrosivity Index 0.75) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
36.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.810692,6.856739,43.0,0.11,5.7,24.75,Corrosive Lowland Clay,1,0.411,0.073,0.132,0.057,0.756,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.35,1.4,20.8,6.3,Normal,0.1745,17.4,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 36.0: High external corrosion hazard (17.4%) resulting from saturated groundwater (Corrosivity Index 0.756) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
37.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.817584,6.862571,42.0,0.23,4.7,25.6,Corrosive Lowland Clay,1,0.416,0.049,0.097,0.074,0.763,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.346,1.38,20.82,6.2,Normal,0.1724,17.2,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 37.0: High external corrosion hazard (17.2%) resulting from saturated groundwater (Corrosivity Index 0.763) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
38.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.824475,6.868402,39.0,0.06,3.7,27.08,Corrosive Lowland Clay,1,0.468,0.079,0.13,0.05,0.776,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.355,1.42,20.78,6.4,Normal,0.1863,18.6,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 38.0: High external corrosion hazard (18.6%) resulting from saturated groundwater (Corrosivity Index 0.776) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
